Time,Force,EMG,
59.509,3.536504,0.03792258,
59.51,3.536504,0.03793967,
59.511,3.536504,0.03795638,
59.512,3.536504,0.03797271,
59.513,3.567029,0.03798913,
59.514,3.536504,0.03800441,
59.515,3.505979,0.03801921,
59.516,3.505979,0.03803353,
59.517,3.444929,0.03804737,
59.518,3.444929,0.03806083,
59.519,3.414404,0.03807382,
59.52,3.414404,0.03808642,
59.521,3.383879,0.03809855,
59.522,3.353354,0.03811058,
59.523,3.353354,0.03812156,
59.524,3.353354,0.03813196,
59.525,3.322829,0.0381418,
59.526,3.322829,0.03815135,
59.527,3.292304,0.03816032,
59.528,3.292304,0.03816901,
59.529,3.261779,0.03817722,
59.53,3.261779,0.03818486,
59.531,3.231254,0.03819221,
59.532,3.231254,0.0381988,
59.533,3.231254,0.03820472,
59.534,3.231254,0.03821016,
59.535,3.200729,0.03821522,
59.536,3.200729,0.0382198,
59.537,3.200729,0.03822391,
59.538,3.200729,0.03822754,
59.539,3.200729,0.0382305,
59.54,3.170204,0.03823288,
59.541,3.170204,0.03823451,
59.542,3.170204,0.03823546,
59.543,3.170204,0.03823584,
59.544,3.139679,0.03823575,
59.545,3.109154,0.03823498,
59.546,3.109154,0.03823374,
59.547,3.109154,0.03823183,
59.548,3.109154,0.03822916,
59.549,3.078629,0.03822563,
59.55,3.078629,0.03822143,
59.551,3.048104,0.03821665,
59.552,3.048104,0.03821121,
59.553,3.048104,0.03820519,
59.554,3.048104,0.0381987,
59.555,3.017579,0.03819154,
59.556,3.017579,0.0381839,
59.557,3.017579,0.03817541,
59.558,3.017579,0.03816595,
59.559,3.017579,0.03815602,
59.56,3.017579,0.03814562,
59.561,3.017579,0.03813464,
59.562,3.017579,0.03812308,
59.563,2.987054,0.03811115,
59.564,2.987054,0.03809855,
59.565,2.987054,0.03808537,
59.566,2.987054,0.03807143,
59.567,2.956529,0.03805616,
59.568,2.926004,0.03804069,
59.569,2.926004,0.03802455,
59.57,2.895479,0.03800794,
59.571,2.895479,0.03799066,
59.572,2.895479,0.0379728,
59.573,2.864954,0.03795438,
59.574,2.864954,0.03793519,
59.575,2.864954,0.03791523,
59.576,2.834429,0.03789365,
59.577,2.834429,0.03787208,
59.578,2.803904,0.03785002,
59.579,2.773379,0.03782739,
59.58,2.773379,0.03780429,
59.581,2.742854,0.03778061,
59.582,2.742854,0.03775636,
59.583,2.712329,0.03773163,
59.584,2.712329,0.03770614,
59.585,2.681804,0.03767902,
59.586,2.651279,0.03765239,
59.587,2.620754,0.03762527,
59.588,2.559704,0.03759787,
59.589,2.468129,0.03756999,
59.59,2.376554,0.03754182,
59.591,2.346029,0.03751318,
59.592,2.346029,0.03748406,
59.593,2.376554,0.03745437,
59.594,2.407079,0.03742296,
59.595,2.437604,0.03739231,
59.596,2.437604,0.03736128,
59.597,2.437604,0.03732996,
59.598,2.468129,0.03729826,
59.599,2.498654,0.03726628,
59.6,2.498654,0.03723391,
59.601,2.468129,0.03720107,
59.602,2.498654,0.03716775,
59.603,2.498654,0.0371329,
59.604,2.498654,0.03709881,
59.605,2.468129,0.03706473,
59.606,2.498654,0.03703055,
59.607,2.468129,0.03699618,
59.608,2.498654,0.03696161,
59.609,2.498654,0.03692696,
59.61,2.529179,0.03689201,
59.611,2.529179,0.03685688,
59.612,2.559704,0.0368204,
59.613,2.559704,0.03678517,
59.614,2.559704,0.03675004,
59.615,2.590229,0.036715,
59.616,2.590229,0.03668005,
59.617,2.620754,0.03664511,
59.618,2.651279,0.03661016,
59.619,2.651279,0.03657522,
59.62,2.651279,0.03654009,
59.621,2.651279,0.0365039,
59.622,2.681804,0.03646896,
59.623,2.681804,0.03643439,
59.624,2.712329,0.03640002,
59.625,2.742854,0.03636575,
59.626,2.773379,0.03633166,
59.627,2.773379,0.03629767,
59.628,2.803904,0.03626368,
59.629,2.803904,0.03622988,
59.63,2.803904,0.03619503,
59.631,2.834429,0.03616171,
59.632,2.834429,0.03612896,
59.633,2.895479,0.0360965,
59.634,2.895479,0.03606442,
59.635,2.895479,0.03603272,
59.636,2.895479,0.03600131,
59.637,2.895479,0.03597019,
59.638,2.926004,0.03593935,
59.639,2.926004,0.03590774,
59.64,2.926004,0.03587786,
59.641,2.956529,0.03584855,
59.642,2.956529,0.03581981,
59.643,2.956529,0.03579145,
59.644,2.987054,0.03576348,
59.645,2.987054,0.03573589,
59.646,2.956529,0.03570868,
59.647,2.956529,0.03568166,
59.648,2.956529,0.03565416,
59.649,2.956529,0.03562809,
59.65,2.956529,0.0356027,
59.651,2.987054,0.03557778,
59.652,2.987054,0.03555324,
59.653,2.987054,0.03552909,
59.654,3.017579,0.03550531,
59.655,3.048104,0.03548182,
59.656,3.048104,0.03545862,
59.657,3.078629,0.03543495,
59.658,3.078629,0.0354128,
59.659,3.078629,0.03539122,
59.66,3.078629,0.03537021,
59.661,3.078629,0.03534959,
59.662,3.109154,0.03532944,
59.663,3.109154,0.03530968,
59.664,3.139679,0.0352902,
59.665,3.139679,0.03527111,
59.666,3.139679,0.03525154,
59.667,3.139679,0.03523339,
59.668,3.139679,0.03521583,
59.669,3.170204,0.03519864,
59.67,3.170204,0.03518174,
59.671,3.170204,0.03516522,
59.672,3.170204,0.0351489,
59.673,3.170204,0.03513276,
59.674,3.170204,0.03511682,
59.675,3.200729,0.0351003,
59.676,3.170204,0.03508483,
59.677,3.170204,0.03506965,
59.678,3.139679,0.03505466,
59.679,3.139679,0.03503986,
59.68,3.139679,0.03502516,
59.681,3.139679,0.03501055,
59.682,3.139679,0.03499604,
59.683,3.139679,0.03498143,
59.684,3.139679,0.03496625,
59.685,3.109154,0.03495183,
59.686,3.109154,0.0349377,
59.687,3.078629,0.03492367,
59.688,3.078629,0.03490973,
59.689,3.048104,0.03489589,
59.69,3.048104,0.03488204,
59.691,3.048104,0.0348682,
59.692,3.017579,0.03485416,
59.693,3.017579,0.03483946,
59.694,3.017579,0.03482542,
59.695,3.017579,0.03481148,
59.696,3.017579,0.03479745,
59.697,3.017579,0.03478341,
59.698,2.987054,0.03476928,
59.699,2.987054,0.03475496,
59.7,2.987054,0.03474035,
59.701,2.987054,0.03472546,
59.702,2.987054,0.03470942,
59.703,2.956529,0.03469386,
59.704,2.956529,0.0346782,
59.705,2.956529,0.03466225,
59.706,2.987054,0.03464602,
59.707,2.987054,0.03462951,
59.708,2.956529,0.0346127,
59.709,2.956529,0.03459542,
59.71,2.956529,0.03457766,
59.711,2.956529,0.03455866,
59.712,2.926004,0.03454014,
59.713,2.956529,0.03452133,
59.714,2.956529,0.03450233,
59.715,2.956529,0.03448314,
59.716,2.956529,0.03446357,
59.717,2.956529,0.03444361,
59.718,2.956529,0.03442337,
59.719,2.926004,0.03440256,
59.72,2.926004,0.03438041,
59.721,2.926004,0.03435883,
59.722,2.926004,0.03433697,
59.723,2.926004,0.03431482,
59.724,2.926004,0.03429238,
59.725,2.926004,0.03426956,
59.726,2.926004,0.03424626,
59.727,2.926004,0.03422249,
59.728,2.926004,0.03419814,
59.729,2.926004,0.03417217,
59.73,2.926004,0.03414668,
59.731,2.926004,0.03412081,
59.732,2.926004,0.03409455,
59.733,2.926004,0.03406801,
59.734,2.895479,0.03404089,
59.735,2.895479,0.0340134,
59.736,2.864954,0.03398533,
59.737,2.864954,0.03395668,
59.738,2.895479,0.03392623,
